影城名称,放映系统,开业时间,银幕宽度(米),银幕高度(米),座位数(个),备注
北京金泉港国际影城 ,IMAX数字,2017年7月1日,23.66,12.55,428,-
北京博纳国际影城(密云店) ,IMAX数字,2017年12月8日,  ,,294,-
北京万达影城(西铁营万达广场店) ,IMAX数字,2017年12月22日,21.39,11.25,323,-
北京万达影城(怀柔万达广场店) ,IMAX数字,2017年12月29日,21.47,11.2,339,-
北京万达影城（房山首创奥莱店）,IMAX Commercial Laser ,2019年5月1日,22.85,11.76,326,12聲道音響系統 
北京英皇电影城(英皇中心店) ,IMAX Commercial Laser ,2019年6月28日,22.19,11.76,354,12聲道音響系統
北京博纳影城(门头沟长安天街IMAX店),IMAX数字,2019年11月15日,,,283,-
"北京CGV影城（清河店）	",IMAX Commercial Laser ,2020年7月24日,16.48,8.31,221,12聲道音響系統
北京中国电影博物馆,IMAX GT Laser,2020年10月31日,30.17,19.507,340,"中國大陸地區第3家IMAX影院
科教影院同时兼具商业影院
12聲道音響系統"
北京博纳国际影城(大郊亭IMAX店),IMAX Commercial Laser,2020年12月17日,20.92,10.9,321,12聲道音響系統
北京万达影城（石景山万达广场店）,IMAX Commercial Laser ,2020年12月18日,23.22,12.68,394,"12聲道音響系統 
中國大陸地區第9家IMAX影院"
北京速铂影城(路劲IMAX店),IMAX数字,2020年12月24日,21.6,11.25,274,-
北京锐得影城,IMAX数字,待定,,,,-
北京卢米埃影院(奥森天地店),IMAX数字,待定,,,,-
北京万达影城（通州万达广场店）,IMAX数字,2014年11月29日,20.9,11.7,424,12聲道音響系統
北京UME国际影城（华星店）,IMAX数字,2015年8月4日,23.91,13.84,411,"12聲道音響系統 
中國大陸地區第4家IMAX影院"
北京万达影城（CBD万达广场店）,IMAX数字,2011年1月11日,16.86,8.39,328,12聲道音響系統
北京环球城市大道电影院,IMAX Commercial Laser ,待定,25.8,14.76,,12聲道音響系統 银幕型号:HARKNESS IMAX Coating 3.1 Peak Gain
北京金逸影城 项目待定,IMAX Commercial Laser ,待定,,,,12聲道音響系統
北京CGV影城（颐堤港二期店）,IMAX GT Laser,待定,,,,12聲道音響系統
广州广东科学中心,IMAX GT,2008年9月27日,28.98,22,610,科教影院 （不定时放映胶片IMAX科普影片）
广州万达影城(白云万达广场店) ,IMAX数字,2010年12月17日,22.81,11.728,388,-
广州UA花城汇影城 ,IMAX数字,2013年1月20日,  ,  ,290,-
广州泛洋国际影城,IMAX数字,2014年5月1日,  ,  ,435,-
广州万达影城(增城万达广场店) ,IMAX数字,2019年8月9日 ,20.89,10.8,314,-
广州万达影城(番禺万达广场店) ,IMAX数字,2019年8月7日,23.66,11.9,360,-
广州万达影城(萝岗万达广场店) ,IMAX数字,2015年7月17日,-,-,379,-
广州万达影城(南沙万达广场店) ,IMAX数字,2015年12月22日,   ,  ,387,-
广州金逸影城(海珠城IMAX店) ,IMAX数字,2016年2月6日,  ,  ,327,-
广州飞扬影城(正佳广场店) ,IMAX数字,2016年6月8日,  ,  ,411,-
广州百丽宫影城(猎德店) ,IMAX数字,2016年10月28日,  ,  ,394,-
广州金逸影城(太阳城店) ,IMAX数字,2016年10月29日,15.28,7.8,303,-
广州金逸影城IMAX(光美番禺沙湾店) ,IMAX数字,2016年12月9日,22.72,12,428,中國大陸地區第400家IMAX影院
广州万达影城(万胜广场店) ,IMAX数字,2017年1月1日,23.77,12.5,427,-
广州卢米埃影城(合生店) ,IMAX数字,2017年3月24日,  ,  ,248,-
广州金逸影城IMAX(光美番禺大石店) ,IMAX数字,2017年4月14日,22.16,11.7,394,-
广州万达影城(亚运城广场店) ,IMAX数字,2017年12月30日,22.28,11.63,421,-
广州飞扬影城IMAX(北京路店) ,IMAX数字,2018年5月18日,  ,  ,376,-
广州万达影城(新塘万达广场店) ,IMAX数字,2018年12月28日,21.92,11.44,365,-
广州金逸影城(百信西区IMAX店) ,IMAX数字,2018年12月30日,21.86,11.35,417,-
广州金逸影城(花地IMAX店) ,IMAX数字,2019年2月2月 ,19.7,10.26,240,-
广州万达影城(天河万科广场店) ,IMAX数字,2019年2月5日,22.74,11.92,251,-
广州美亚影城（云门店）,IMAX Commercial Laser ,2019年2月15日,23.55,12.31,349,12聲道音響系統
广州万达影城（花都融創茂店）,IMAX数字,2019年6月15日,20.44,10.56,312,-
广州飞扬影城（乐峰店）,IMAX Commercial Laser ,2019年12月13日,,,372,12聲道音響系統
广州中影南方影城（IMAX科韵路店）,IMAX数字,2020年8月18日,-,-,422,-
广州万达影城（南岗万达广场店）,IMAX数字,2020年9月30日,19.84,10.58,391,-
广州金逸影城IMAX（三喜居然之家店）,IMAX数字,2020年12月25日,19.65,9.74,271,-
广州CGV影城（悦汇城）,IMAX数字,2020年12月30日,17.48,8.98,150,-
广州金逸影城（番禺渔人码头店）,IMAX数字,待定,-,-,-,-
广州金逸影城（番禺星海城店）,IMAX数字,待定,-,-,-,-
